prefecture,agences_telecom,agences_moov,agences_togocom,agences_canalplus,datacenters,mobile_money,antennes_mobiles,densite_pop_moyenne,total_agences
Tchamba,2,0,2,0,0,205,0,66.8218284800209,4
Tchaoudjo,4,1,3,0,0,1406,0,90.96158439490446,8
Assoli,1,0,1,0,0,231,0,53.0315170940171,2
Binah,0,0,0,0,0,194,0,150.390447778828,0
Doufelgou,1,0,1,0,0,184,0,61.80341846446701,2
Keran,2,0,2,0,0,133,0,67.66362674302789,4
Kozah,2,1,1,0,0,1575,0,220.66486899133176,4
Golfe,18,5,13,0,1,2633,26,8715.822916666666,37
Bas-Mono,2,0,2,0,0,180,0,290.61470992476853,4
Vo,0,0,0,0,0,559,0,298.0192447613504,0
Yoto,1,0,1,0,0,169,0,140.76867874592833,2
Amou,0,0,0,0,0,196,0,75.44150450878026,0
Wawa,0,0,0,0,0,233,0,83.46084416725229,0
Blitta,2,1,1,0,0,122,0,86.6912410808668,4
Sotouboua,3,1,2,0,0,361,0,22.241580623171057,6
Bassar,3,1,2,0,0,427,0,34.5876277820911,6
Dankpen,1,0,1,0,0,201,0,86.61946708213486,2
Ave,4,1,3,0,0,200,0,190.65061090225564,8
Zio,6,2,4,0,0,1309,1,248.3359257518797,12
Agou,1,0,1,0,0,227,0,80.64752659574468,2
Danyi,0,0,0,0,0,132,0,87.0321556645199,0
Est-Mono,0,0,0,0,0,163,0,74.24964874909355,0
Haho,3,1,2,0,0,423,0,110.87323328267478,6
Kpélé,2,1,1,0,0,273,0,89.7616123038811,4
Moyen-Mono,1,0,1,0,0,79,0,144.6518540451895,2
Ogou,1,0,1,0,0,430,0,103.26731580967,2
Kpendjal,0,0,0,0,0,168,0,104.22690436434823,0
Oti,2,0,2,0,0,534,0,67.16763098873831,4
Tandjouare,0,0,0,0,0,158,0,154.39855812897366,0
Tone,2,1,1,0,0,1273,0,335.4780210454854,4
Cinkassé,2,1,1,0,0,410,0,340.06627933212997,4
Plaine de Mô,0,0,0,0,0,26,0,17.961031919026244,0
Akébou,0,0,0,0,0,88,0,54.14977509469697,0
Anié,2,1,1,0,0,297,0,102.05375246062992,4
Kloto,2,1,1,0,0,499,0,307.46742957746477,4
Lacs,0,0,0,0,0,544,0,517.5908933518006,0
Lome Commune,20,9,11,0,2,3377,5,6549.252403846154,42
